,Mujeres de 12-49,Poblacion Total,Poblacion de 0 a 5,Personas c/religion,Personas Casadas,Personas Ocupadas,Prom. Grado Escolar,Personas C/Servicio de Salud
58116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58117,74.0,240.0,46.0,212.0,93.0,97.0,10.64,197.0
58119,15.456863657515123,70.0,9.0,65.0,36.0,36.0,9.25,54.0
58120,15.456863657515123,108.0,19.0,104.0,39.0,43.0,9.16,83.0
58121,15.456863657515123,87.0,11.0,59.0,41.0,39.0,9.31,65.0
58122,26.0,90.0,13.0,63.0,44.0,47.0,9.49,68.0
58123,15.456863657515123,82.0,12.0,68.0,40.0,43.0,11.36,64.0
58124,15.456863657515123,89.0,17.0,83.0,43.0,44.0,9.84,47.0
58125,44.0,136.0,17.0,128.0,61.0,66.0,9.9,113.0
58126,15.456863657515123,64.0,7.0,60.0,24.0,27.0,8.78,42.0
58127,15.456863657515123,69.0,9.0,64.0,32.0,30.0,10.35,49.0
58128,15.456863657515123,64.0,15.0,59.0,30.0,29.0,10.3,46.0
58129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58130,29.0,102.0,11.0,84.0,45.0,51.0,9.14,87.0
58131,15.456863657515123,46.0,7.459091211939503,47.675835426737876,19.0,24.0,8.48,32.0
58132,15.456863657515123,38.0,4.0,33.0,16.0,19.0,9.84,25.0
58133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58134,18.0,49.0,8.0,26.0,18.0,15.0,8.69,23.0
58135,15.456863657515123,44.0,7.459091211939503,42.0,16.0,18.0,9.63,27.0
58136,45.0,157.0,30.0,116.0,62.0,64.0,9.58,107.0
58137,41.0,122.0,16.0,109.0,49.0,55.0,10.11,103.0
58138,38.0,111.0,14.0,85.0,38.0,40.0,8.63,94.0
58139,30.0,98.0,13.0,98.0,44.0,56.0,9.7,90.0
58140,34.0,115.0,21.0,102.0,46.0,49.0,10.07,94.0
58141,15.456863657515123,47.0,8.0,47.675835426737876,18.0,22.0,9.13,30.0
58142,15.456863657515123,31.0,7.459091211939503,27.0,11.0,18.0,9.96,29.0
58143,15.456863657515123,43.0,7.459091211939503,38.0,17.0,19.0,7.92,31.0
58144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58146,355.0,1121.0,168.0,979.0,464.0,507.0,9.93,802.0
58147,15.456863657515123,119.0,17.0,111.0,43.0,51.0,10.66,103.0
58148,15.456863657515123,95.0,16.0,84.0,35.0,48.0,9.48,69.0
58149,30.0,93.0,12.0,47.675835426737876,41.0,45.0,9.81,73.0
58150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58151,15.456863657515123,33.0,8.0,33.0,16.0,13.0,11.35,25.0
58152,24.0,83.0,12.0,69.0,32.0,33.0,11.0,59.0
58153,16.0,44.0,7.459091211939503,44.0,20.0,17.0,10.7,28.0
58154,19.0,65.0,7.459091211939503,51.0,29.0,30.0,10.13,46.0
58155,15.456863657515123,36.0,7.0,34.0,16.0,13.0,11.48,35.0
58156,29.0,91.0,7.0,82.0,37.0,43.0,9.55,67.0
58157,47.0,143.0,17.0,108.0,58.0,64.0,9.36,105.0
58158,15.456863657515123,62.0,11.0,48.0,26.0,30.0,11.0,46.0
58159,57.0,170.0,22.0,137.0,61.0,74.0,9.6,139.0
58160,5.0,22.0,7.459091211939503,18.0,11.0,8.0,10.18,11.0
58161,15.456863657515123,76.0,17.0,65.0,32.0,25.0,9.73,60.0
58162,27.0,90.0,16.0,84.0,39.0,33.0,9.37,76.0
58163,15.456863657515123,90.0,13.0,79.0,37.0,38.0,9.2,53.0
58164,15.456863657515123,97.0,13.0,93.0,37.0,50.0,9.42,60.0
58165,35.0,95.0,10.0,89.0,46.0,51.0,9.49,68.0
58166,15.456863657515123,115.0,16.0,93.0,58.0,54.0,9.39,87.0
58167,45.0,124.0,18.0,109.0,49.0,57.0,9.52,99.0
58168,38.0,108.0,15.0,94.0,49.0,54.0,9.15,68.0
58169,50.0,130.0,11.0,123.0,55.0,67.0,9.2,115.0
58170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58171,33.0,103.0,14.0,87.0,35.0,50.0,8.75,82.0
58172,36.0,100.0,12.0,78.0,42.0,54.0,8.91,77.0
58173,15.456863657515123,55.0,11.0,51.0,23.0,29.0,7.65,47.0
58174,15.456863657515123,81.0,9.0,78.0,35.0,40.0,9.49,70.0
58175,28.0,80.0,14.0,72.0,34.0,37.0,9.27,64.0
58176,14.0,44.0,7.459091211939503,36.0,22.0,19.0,8.75,22.0
58177,44.0,119.0,14.0,116.0,51.0,65.0,11.25,96.0
58178,15.456863657515123,121.0,19.0,47.675835426737876,46.0,61.0,11.6,104.0
58179,26.0,94.0,18.0,86.0,37.0,45.0,9.89,54.0
58180,22.0,70.0,7.459091211939503,59.0,31.0,38.0,10.31,47.0
58181,26.0,99.0,18.0,84.0,52.0,46.0,10.43,73.0
