Mujeres de 12-49,Poblacion Total,Poblacion de 0 a 5,Personas c/religion,Personas Casadas,Personas s/religion,Personas Ocupadas,Personas S/Internet,Personas C/Servicio de Salud
3.489600474585397,3.3672958299864737,0.0,3.3672958299864737,2.772588722239781,0.0,2.772588722239781,1.6094379124341003,3.044522437723423
3.6635616461296463,4.709530201312334,1.6094379124341003,4.584967478670571,3.8501476017100584,2.6390573296152584,4.110873864173311,2.833213344056216,4.394449154672438
3.489600474585397,3.7135720667043075,0.0,4.383569799310253,3.044522437723423,2.38932026301246,3.332204510175204,1.791759469228055,3.1780538303479453
3.489600474585397,3.9702919135521215,1.3862943611198906,3.912023005428146,2.995732273553991,1.3862943611198906,3.2580965380214817,2.0794415416798357,3.6109179126442243
3.6375861597263857,4.795790545596741,1.6094379124341003,4.727387818712341,3.8501476017100584,2.197224577336219,4.219507705176107,3.332204510175204,4.290459441148391
3.2188758248682006,4.477336814478206,2.0794415416798357,4.343805421853684,3.295836866004329,2.4849066497880004,3.7135720667043075,2.9444389791664403,3.8501476017100584
2.4849066497880004,3.8066624897703196,1.3862943611198906,3.6109179126442243,2.833213344056216,2.0794415416798357,3.044522437723423,1.6094379124341003,3.1780538303479453
1.3862943611198906,2.6390573296152584,0.0,4.383569799310253,2.0794415416798357,2.38932026301246,2.197224577336219,2.6692783453816897,2.4849066497880004
3.489600474585397,4.304065093204169,1.6094379124341003,4.110873864173311,3.6635616461296463,2.6390573296152584,3.5553480614894135,2.70805020110221,3.58351893845611
3.2188758248682006,4.406719247264253,1.9459101490553132,4.356708826689592,3.58351893845611,1.6094379124341003,3.332204510175204,2.9444389791664403,3.7135720667043075
2.772588722239781,4.04305126783455,1.3862943611198906,3.951243718581427,3.295836866004329,1.791759469228055,3.332204510175204,2.70805020110221,3.6888794541139363
2.197224577336219,3.6888794541139363,0.0,3.6888794541139363,2.9444389791664403,0.0,3.1354942159291497,2.3025850929940455,2.70805020110221
3.489600474585397,3.4011973816621555,0.0,3.332204510175204,2.5649493574615367,2.38932026301246,3.0910424533583156,1.9459101490553132,2.70805020110221
3.6109179126442243,4.770684624465664,1.3862943611198906,4.709530201312334,3.8918202981106265,2.0794415416798357,3.9702919135521215,2.4849066497880004,4.23410650459726
3.58351893845611,4.844187086458591,2.197224577336219,4.820281565605037,3.912023005428146,1.3862943611198906,4.04305126783455,3.295836866004329,4.804021044733257
1.791759469228055,3.0910424533583156,1.6094379124341003,4.383569799310253,1.9459101490553132,1.791759469228055,2.3978952727983707,1.9459101490553132,2.833213344056216
3.489600474585397,3.4965075614664802,1.9459101490553132,3.332204510175204,2.70805020110221,1.791759469228055,2.70805020110221,1.3862943611198906,3.1354942159291497
3.489600474585397,3.7612001156935624,1.6094379124341003,3.7135720667043075,2.8903717578961645,2.38932026301246,3.0910424533583156,1.9459101490553132,3.044522437723423
3.489600474585397,3.4011973816621555,0.0,3.332204510175204,2.4849066497880004,2.38932026301246,3.0910424533583156,1.791759469228055,2.8903717578961645
3.489600474585397,2.0794415416798357,0.0,1.9459101490553132,0.0,2.38932026301246,1.9459101490553132,2.6692783453816897,1.791759469228055
3.489600474585397,4.663439094112067,1.791759469228055,4.543294782270004,3.7612001156935624,2.5649493574615367,3.8918202981106265,2.8903717578961645,4.394449154672438
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.791759469228055,2.5649493574615367,0.0,2.4849066497880004,1.9459101490553132,2.38932026301246,2.0794415416798357,2.6692783453816897,2.3025850929940455
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.489600474585397,4.007333185232471,1.3862943611198906,4.007333185232471,3.1780538303479453,0.0,3.1780538303479453,2.197224577336219,3.3672958299864737
2.197224577336219,3.7612001156935624,0.0,3.6888794541139363,2.772588722239781,1.3862943611198906,3.1354942159291497,2.3025850929940455,3.4339872044851463
3.489600474585397,4.007333185232471,1.6094379124341003,3.7612001156935624,3.0910424533583156,2.5649493574615367,2.833213344056216,2.197224577336219,3.6109179126442243
2.3978952727983707,3.4657359027997265,0.0,3.3672958299864737,2.4849066497880004,1.3862943611198906,2.6390573296152584,0.0,3.3672958299864737
3.489600474585397,4.025351690735149,1.6094379124341003,3.828641396489095,3.332204510175204,2.3978952727983707,3.5553480614894135,2.197224577336219,3.8066624897703196
3.489600474585397,3.8501476017100584,1.6094379124341003,3.828641396489095,2.9444389791664403,2.38932026301246,3.0910424533583156,2.4849066497880004,3.526360524616161
3.489600474585397,4.330733340286331,1.791759469228055,4.276666119016055,3.4339872044851463,1.6094379124341003,3.784189633918261,2.3978952727983707,3.8918202981106265
3.489600474585397,2.833213344056216,0.0,2.70805020110221,2.3025850929940455,2.38932026301246,2.197224577336219,2.6692783453816897,2.3978952727983707
1.791759469228055,3.044522437723423,0.0,3.044522437723423,2.6390573296152584,0.0,2.70805020110221,2.6692783453816897,2.5649493574615367
3.489600474585397,2.995732273553991,0.0,4.383569799310253,2.3025850929940455,0.0,2.3025850929940455,2.6692783453816897,2.4849066497880004
3.4965075614664802,4.7535901911063645,1.6094379124341003,4.624972813284271,3.784189633918261,2.70805020110221,4.04305126783455,2.772588722239781,4.31748811353631
3.489600474585397,2.9444389791664403,0.0,2.772588722239781,2.3978952727983707,1.3862943611198906,2.0794415416798357,2.6692783453816897,2.6390573296152584
3.489600474585397,4.430816798843313,1.791759469228055,4.394449154672438,3.7135720667043075,1.3862943611198906,3.58351893845611,2.8903717578961645,4.007333185232471
