NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,Mujeres de 12-49,Poblacion Total,Poblacion de 0 a 5,Personas c/religion,Personas Casadas,Personas s/religion,Personas Ocupadas,Personas S/Internet,Personas C/Servicio de Salud
Tabasco,1,Balancán,1,Balancán,0416,38.0,114.0,5.0,112.0,44.0,0.0,61.0,13.0,88.0
Tabasco,1,Balancán,1,Balancán,0416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabasco,1,Balancán,1,Balancán,0416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabasco,1,Balancán,1,Balancán,0416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabasco,1,Balancán,1,Balancán,0420,4.0,22.0,3.0,79.1235484742101,15.0,9.906078158222744,11.0,13.429552281504792,21.0
Tabasco,1,Balancán,1,Balancán,0420,11.0,50.0,5.0,41.0,19.0,9.0,24.0,4.0,43.0
Tabasco,1,Balancán,1,Balancán,0420,31.772851503188583,16.0,0.0,14.0,6.0,9.906078158222744,9.0,13.429552281504792,13.0
Tabasco,1,Balancán,1,Balancán,0420,29.0,83.0,3.0,76.0,38.0,7.0,43.0,16.0,77.0
Tabasco,1,Balancán,1,Balancán,0420,19.0,80.0,4.0,79.0,34.0,9.906078158222744,36.0,13.0,65.0
Tabasco,1,Balancán,1,Balancán,0420,24.0,108.0,4.0,103.0,52.0,4.0,52.0,21.0,98.0
Tabasco,1,Balancán,1,Balancán,0420,8.0,22.0,0.0,79.1235484742101,4.0,0.0,14.0,13.429552281504792,22.0
Tabasco,1,Balancán,1,Balancán,0420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabasco,1,Balancán,1,Balancán,0420,10.0,38.0,0.0,35.0,16.0,3.0,23.0,13.429552281504792,22.0
Tabasco,1,Balancán,1,Balancán,0420,10.0,43.0,6.0,79.1235484742101,26.0,0.0,23.0,9.0,38.0
Tabasco,1,Balancán,1,Balancán,0420,0.0,8.0,0.0,7.0,4.0,9.906078158222744,4.0,13.429552281504792,7.0
Tabasco,1,Balancán,1,Balancán,0420,4.0,13.0,0.0,79.1235484742101,4.0,0.0,6.0,3.0,13.0
Tabasco,1,Balancán,1,Balancán,0420,3.0,21.0,0.0,19.0,6.0,9.906078158222744,12.0,13.429552281504792,15.0
Tabasco,1,Balancán,1,Balancán,0420,54.0,187.0,4.0,179.0,89.0,7.0,92.0,50.0,181.0
Tabasco,1,Balancán,1,Balancán,0420,18.0,82.0,0.0,82.0,30.0,0.0,39.0,19.0,79.0
Tabasco,1,Balancán,1,Balancán,0420,31.772851503188583,71.0,4.0,71.0,24.0,0.0,36.0,16.0,68.0
Tabasco,1,Balancán,1,Balancán,0420,3.0,9.0,0.0,79.1235484742101,37.62184402468674,9.906078158222744,5.0,13.429552281504792,7.0
Tabasco,1,Balancán,1,Balancán,0420,31.772851503188583,8.0,0.0,8.0,5.0,0.0,5.0,13.429552281504792,4.0
Tabasco,1,Balancán,1,Balancán,0420,9.0,29.0,3.0,29.0,12.0,0.0,10.0,5.0,29.0
Tabasco,1,Balancán,1,Balancán,0420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabasco,1,Balancán,1,Balancán,0420,6.0,14.0,0.0,14.0,37.62184402468674,0.0,5.0,13.429552281504792,11.0
Tabasco,1,Balancán,1,Balancán,0420,31.772851503188583,52.0,0.0,50.0,21.0,9.906078158222744,28.0,6.0,52.0
Tabasco,1,Balancán,1,Balancán,0420,62.0,194.0,5.0,187.0,79.0,7.0,96.0,26.0,173.0
Tabasco,1,Balancán,1,Balancán,0543,31.772851503188583,81.0,6.0,58.0,34.0,23.0,36.0,14.0,56.0
Tabasco,1,Balancán,1,Balancán,0543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tabasco,1,Balancán,1,Balancán,0543,31.772851503188583,52.0,3.0,52.0,22.0,0.0,20.0,6.0,34.0
Tabasco,1,Balancán,1,Balancán,0543,14.0,65.0,5.0,60.0,30.0,5.0,34.0,16.0,48.0
Tabasco,1,Balancán,1,Balancán,0543,31.772851503188583,65.0,3.0,53.0,28.0,12.0,24.0,11.0,45.0
Tabasco,1,Balancán,1,Balancán,0543,31.772851503188583,84.0,3.0,73.0,36.0,11.0,39.0,11.0,62.0
Tabasco,1,Balancán,1,Balancán,0543,88.0,295.0,11.0,255.0,110.0,40.0,133.0,63.0,181.0
Tabasco,1,Balancán,1,Balancán,0543,25.0,84.0,3.0,75.0,27.0,9.0,38.0,11.0,77.0
Tabasco,1,Balancán,1,Balancán,0543,37.0,121.0,9.0,104.0,55.0,17.0,61.0,21.0,71.0
Tabasco,1,Balancán,1,Balancán,0543,31.772851503188583,79.0,6.0,62.0,30.0,17.0,29.0,17.0,30.0
Tabasco,1,Balancán,1,Balancán,0543,31.772851503188583,87.0,4.0,68.0,37.0,19.0,42.0,23.0,37.0
Tabasco,1,Balancán,1,Balancán,0543,39.0,111.0,5.0,103.0,44.0,8.0,63.0,16.0,38.0
Tabasco,1,Balancán,1,Balancán,0543,31.772851503188583,69.0,3.0,64.0,30.0,5.0,24.0,13.0,39.0
Tabasco,1,Balancán,1,Balancán,0558,45.0,156.0,8.0,135.0,66.0,21.0,107.0,22.0,120.0
Tabasco,1,Balancán,1,Balancán,0558,31.772851503188583,90.0,5.0,78.0,35.0,8.0,66.0,18.0,64.0
Tabasco,1,Balancán,1,Balancán,0558,31.772851503188583,7.0,0.0,7.0,4.0,0.0,7.0,0.0,6.0
Tabasco,1,Balancán,1,Balancán,0558,31.772851503188583,12.0,0.0,11.0,10.0,9.906078158222744,5.0,13.429552281504792,7.0
Tabasco,1,Balancán,1,Balancán,0558,31.772851503188583,167.0,6.0,155.0,85.0,12.0,113.0,23.0,126.0
Tabasco,1,Balancán,1,Balancán,0558,16.0,60.0,3.0,52.0,26.0,8.0,27.0,13.0,46.0
Tabasco,1,Balancán,1,Balancán,0558,31.772851503188583,79.0,4.0,70.0,29.0,9.0,54.0,18.0,52.0
Tabasco,1,Balancán,1,Balancán,0558,31.772851503188583,72.0,3.0,53.0,33.0,19.0,38.0,15.0,32.0
Tabasco,1,Balancán,1,Balancán,0558,16.0,68.0,3.0,65.0,34.0,3.0,37.0,8.0,43.0
Tabasco,1,Balancán,1,Balancán,0558,31.772851503188583,104.0,0.0,98.0,36.0,6.0,53.0,21.0,52.0
